Instruction	Symbol	price	Quantity	AssetType
BUY_TO_OPEN	SPY   240603P00524000	0.30	1	OPTION
BUY_TO_OPEN	SPY   240603P00524000	0.30	1	OPTION
BUY_TO_OPEN	SPY   240603P00524000	0.30	1	OPTION
BUY_TO_OPEN	SPY   240603P00524000	0.30	1	OPTION
BUY_TO_OPEN	SPY   240603P00524000	0.30	1	OPTION
BUY_TO_OPEN	SPY   240603P00524000	0.30	1	OPTION
BUY_TO_OPEN	SPY   240603P00525000	0.46	1	OPTION
BUY_TO_OPEN	SPY   240603P00525000	0.46	1	OPTION
BUY_TO_OPEN	SPY   240603C00530000	0.29	1	OPTION
BUY_TO_OPEN	SPY   240603C00530000	0.29	1	OPTION
BUY_TO_OPEN	SPY   240603C00530000	0.29	1	OPTION
BUY_TO_OPEN	SPY   240603C00530000	0.29	1	OPTION
BUY_TO_OPEN	SPY   240603P00525000	0.46	1	OPTION
BUY_TO_OPEN	SPY   240603C00530000	0.29	1	OPTION
BUY_TO_OPEN	SPY   240603C00530000	0.29	1	OPTION
BUY_TO_OPEN	SPY   240603P00525000	0.46	1	OPTION
BUY_TO_OPEN	SPY   240603P00525000	0.46	1	OPTION
BUY_TO_OPEN	SPY   240603P00525000	0.46	1	OPTION
BUY_TO_OPEN	SPY   240603C00530000	0.29	1	OPTION
BUY_TO_OPEN	SPY   240603C00530000	0.29	1	OPTION
BUY_TO_OPEN	SPY   240603C00530000	0.29	1	OPTION
BUY_TO_OPEN	SPY   240603P00525000	0.46	1	OPTION
BUY_TO_OPEN	SPY   240603P00525000	0.46	1	OPTION
BUY_TO_OPEN	SPY   240603P00525000	0.46	1	OPTION
BUY_TO_OPEN	SPY   240603P00525000	0.46	1	OPTION
BUY_TO_OPEN	SPY   240603P00525000	0.46	1	OPTION
BUY_TO_OPEN	SPY   240603P00525000	0.46	1	OPTION
BUY_TO_OPEN	SPY   240603P00525000	0.46	1	OPTION
BUY_TO_OPEN	SPY   240603P00525000	0.46	1	OPTION
BUY_TO_OPEN	SPY   240603P00525000	0.46	1	OPTION
BUY_TO_OPEN	SPY   240603P00525000	0.46	1	OPTION
BUY_TO_OPEN	SPY   240603P00525000	0.46	1	OPTION
BUY_TO_OPEN	SPY   240603P00525000	0.46	1	OPTION
BUY_TO_OPEN	SPY   240603P00525000	0.46	1	OPTION
BUY_TO_OPEN	SPY   240603P00525000	0.46	1	OPTION
BUY_TO_OPEN	SPY   240603P00525000	0.46	1	OPTION
BUY_TO_OPEN	SPY   240603P00525000	0.46	1	OPTION
BUY_TO_OPEN	SPY   240603P00525000	0.46	1	OPTION
BUY_TO_OPEN	SPY   240603P00525000	0.46	1	OPTION
BUY_TO_OPEN	SPY   240603P00525000	0.46	1	OPTION
BUY_TO_OPEN	SPY   240603P00525000	0.46	1	OPTION
BUY_TO_OPEN	SPY   240603C00530000	0.29	1	OPTION
BUY_TO_OPEN	SPY   240603P00525000	0.46	1	OPTION
BUY_TO_OPEN	SPY   240603P00525000	0.46	1	OPTION
BUY_TO_OPEN	SPY   240603C00530000	0.29	1	OPTION
BUY_TO_OPEN	SPY   240603P00525000	0.46	1	OPTION
BUY_TO_OPEN	SPY   240603P00525000	0.46	1	OPTION
BUY_TO_OPEN	SPY   240603C00530000	0.29	1	OPTION
BUY_TO_OPEN	SPY   240603P00525000	0.46	1	OPTION
BUY_TO_OPEN	SPY   240603C00530000	0.29	1	OPTION
BUY_TO_OPEN	SPY   240603C00530000	0.46	1	OPTION
BUY_TO_OPEN	SPY   240603P00525000	0.32	1	OPTION
BUY_TO_OPEN	SPY   240603P00526000	0.45	1	OPTION
BUY_TO_OPEN	SPY   240603P00526000	0.24	1	OPTION
BUY_TO_OPEN	SPY   240604C00528000	0.31	1	OPTION
BUY_TO_OPEN	SPY   240604P00525000	0.27	1	OPTION
BUY_TO_OPEN	SPY   240604C00528000	0.43	1	OPTION
BUY_TO_OPEN	SPY   240604C00529000	0.40	1	OPTION
BUY_TO_OPEN	SPY   240604C00529000	0.32	1	OPTION
BUY_TO_OPEN	SPY   240604C00529000	0.36	1	OPTION
BUY_TO_OPEN	SPY   240604C00529000	0.33	1	OPTION
BUY_TO_OPEN	SPY   240605C00534000	0.31	1	OPTION
BUY_TO_OPEN	SPY   240605C00534000	0.31	1	OPTION
BUY_TO_OPEN	SPY   240606P00533000	0.46	1	OPTION
BUY_TO_OPEN	SPY   240606P00531000	0.29	1	OPTION
